rank,objective_value,sharpe_ratio,total_return,max_drawdown,calmar_ratio,num_trades,win_rate,profit_factor,is_valid,regime_mult_Bull Trending,regime_mult_Bear Trending,regime_mult_Mean Reverting,regime_mult_High Volatility,regime_mult_Low Volatility,regime_mult_Breakout,regime_mult_Unknown,stop_loss_pct,take_profit_pct,max_position_size,vol_threshold_high_pct,vol_threshold_low_pct
90,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.7,1.4,0.7,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
91,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.8999999999999999,1.0,0.3,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
92,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.8999999999999999,1.0,0.3,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
93,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.8999999999999999,1.0,0.5,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
94,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.8999999999999999,1.0,0.5,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
95,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.8999999999999999,1.0,0.7,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
96,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.8999999999999999,1.0,0.7,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
97,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.8999999999999999,1.2,0.3,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
98,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.8999999999999999,1.2,0.3,1.3,1.0999999999999999,0.2,0.1,0.15,0.2,75.0,25.0
99,-1.224488757643253,-1.224488757643253,0.015969841633208803,-0.01163027044422226,0.6838442336283447,19,0.3684210526315789,2.0724037852615123,True,1.2,0.8999999999999999,1.2,0.5,1.3,1.0999999999999999,0.1,0.1,0.15,0.2,75.0,25.0
